Space Group,Counts
1,3436
2,1863
3,88
4,356
5,460
6,296
7,252
8,651
9,300
10,159
11,217
12,796
13,107
14,1050
15,532
16,1
17,6
18,14
19,95
20,49
21,14
22,8
24,4
25,25
26,38
28,2
29,65
30,5
31,61
33,243
34,7
35,1
36,69
37,6
38,31
39,4
40,19
41,8
42,4
43,25
44,31
46,4
47,4
49,2
51,11
52,11
53,3
54,2
55,46
56,13
57,21
58,51
59,20
60,105
61,98
62,350
63,126
64,80
65,50
66,2
67,6
68,2
69,1
70,26
71,208
72,16
73,3
74,119
75,1
76,11
78,3
79,2
80,2
81,2
82,36
84,1
85,5
86,3
87,19
88,33
91,5
92,2
94,3
95,34
96,9
98,1
99,11
100,3
102,7
105,8
107,3
108,2
109,5
110,3
111,1
113,12
114,10
115,15
117,1
118,10
119,31
121,15
122,24
123,88
125,4
127,10
128,3
129,38
130,13
131,4
132,2
134,2
135,2
136,31
137,26
138,3
139,98
140,10
141,67
142,11
143,17
144,10
145,7
146,75
147,19
148,106
149,1
150,19
151,2
152,12
153,1
155,9
156,37
157,3
158,3
159,28
160,80
161,23
162,8
163,29
164,97
165,21
166,250
167,34
169,7
170,4
173,37
174,20
176,6
178,5
180,5
181,12
182,3
185,12
186,87
187,30
188,2
189,12
190,5
191,19
192,4
193,6
194,93
198,32
199,1
201,1
203,13
204,2
205,8
206,27
212,39
213,2
214,2
215,10
216,117
217,5
218,16
220,10
221,83
224,1
225,741
226,1
227,34
229,7
230,27
